Nombre,Apellido,Numero_Documento__c,Email,Telefono,Rol__c,Tipo_Documento__c
Bautista,Fernandez,34223113,bautista.fernandez@gmail.com,+54 9 3145 4593,Alumno,DNI
Salvador,Ramos,41907942,salvador.ramos@gmail.com,+54 9 3774 3820,Alumno,DNI
Juana,Rodriguez,31153469,juana.rodriguez@gmail.com,+54 9 3804 8052,Alumno,DNI
Mia Morena,Fernandez,36511898,mia.morena.fernandez@gmail.com,+54 9 3793 6933,Alumno,DNI
Martín,Castillo,44383216,martin.castillo25@outlook.com,+54 9 2578 1165,Alumno,DNI
Sofía,Acosta,40284355,sofia.acosta@gmail.com,+54 9 3691 9391,Alumno,DNI
Malena,Diaz,46410216,malena.diaz25@outlook.com,+54 9 3383 2231,Alumno,DNI
Tiziano Valentin,Miranda,44844263,tiziano.valentin.miranda25@outlook.com,+54 9 2617 4221,Alumno,DNI
Lautaro Nicolas,Aguero,40833222,lautaro.nicolas.aguero@gmail.com,+54 9 3416 4586,Alumno,DNI
Ignacio,Torres,40852091,ignacio.torres@gmail.com,+54 9 3481 9334,Alumno,DNI
Isabella,Roldan,43342517,isabella.roldan25@outlook.com,+54 9 2118 4040,Alumno,DNI
Benjamin Alejandro,Morales,44730308,benjamin.alejandro.morales25@outlook.com,+54 9 3420 3298,Alumno,DNI
Benjamin,Rodriguez,44445238,benjamin.rodriguez25@outlook.com,+54 9 3308 8552,Alumno,DNI
Josefina,Gonzalez,40269989,josefina.gonzalez@gmail.com,+54 9 2375 8291,Alumno,DNI
Mateo,Ortiz,30277884,mateo.ortiz@gmail.com,+54 9 2204 5454,Alumno,DNI
Zoe Valentina,Molina,35310111,zoe.valentina.molina@gmail.com,+54 9 3792 5384,Alumno,DNI
Valentino,Morales,33362152,valentino.morales@gmail.com,+54 9 3973 5775,Alumno,DNI
Valentina,Mendez,40204911,valentina.mendez@gmail.com,+54 9 3144 8911,Alumno,DNI
Catalina,Mendoza,47320705,catalina.mendoza25@outlook.com,+54 9 3256 8036,Alumno,DNI
Lautaro Benjamin,Gomez,44724307,lautaro.benjamin.gomez25@outlook.com,+54 9 2212 5434,Alumno,DNI
Ignacio,Martinez,41016204,ignacio.martinez@gmail.com,+54 9 3892 3689,Alumno,DNI
Juana,Rios,32844429,juana.rios@gmail.com,+54 9 2482 5721,Alumno,DNI
Zoe,Fernandez,44286872,zoe.fernandez25@outlook.com,+54 9 3358 4498,Alumno,DNI
Zoe Valentina,Martinez,37090862,zoe.valentina.martinez@gmail.com,+54 9 3331 0799,Alumno,DNI
Thiago Gabriel,Vazquez,32027618,thiago.gabriel.vazquez@gmail.com,+54 9 3179 5999,Alumno,DNI
Joaquín,Gonzalez,45280236,joaquin.gonzalez25@outlook.com,+54 9 2698 8228,Alumno,DNI
Joaquina,Martinez,30224289,joaquina.martinez@gmail.com,+54 9 3874 8796,Alumno,DNI
Francisco,Ferreyra,40437078,francisco.ferreyra@gmail.com,+54 9 3985 4160,Alumno,DNI
Santiago,Morales,30808375,santiago.morales@gmail.com,+54 9 3713 2441,Alumno,DNI
Ambar,Gutierrez,37412229,ambar.gutierrez@gmail.com,+54 9 3508 8909,Alumno,DNI
Maria Emilia,Benitez,33697024,maria.emilia.benitez@gmail.com,+54 9 3968 9826,Alumno,DNI
Juan Bautista,Cardozo,30520054,juan.bautista.cardozo@gmail.com,+54 9 2531 1496,Alumno,DNI
Catalina,Gonzalez,35077928,catalina.gonzalez@gmail.com,+54 9 3275 8507,Alumno,DNI
Bruno,Rodriguez,44343339,bruno.rodriguez25@outlook.com,+54 9 2462 5981,Alumno,DNI
Facundo,Medina,43729856,facundo.medina25@outlook.com,+54 9 2341 9750,Alumno,DNI
Benjamin,Ortiz,31445923,benjamin.ortiz@gmail.com,+54 9 3491 8793,Alumno,DNI
Tiziano Valentin,Caceres,38405437,tiziano.valentin.caceres@gmail.com,+54 9 2451 0969,Alumno,DNI
Santiago,Diaz,46585675,santiago.diaz25@outlook.com,+54 9 2586 5948,Alumno,DNI
Felipe,Fernandez,40235116,felipe.fernandez@gmail.com,+54 9 3491 3591,Alumno,DNI
Lorenzo,Olivera,31221480,lorenzo.olivera@gmail.com,+54 9 3530 8326,Alumno,DNI
Isabella,Alvarez,40104822,isabella.alvarez@gmail.com,+54 9 2545 8644,Alumno,DNI
Juan Gabriel,Miranda,37639684,juan.gabriel.miranda@gmail.com,+54 9 2895 6357,Alumno,DNI
Felipe,Ledesma,33800391,felipe.ledesma@gmail.com,+54 9 3704 9628,Alumno,DNI
Lorenzo,Luna,44415606,lorenzo.luna25@outlook.com,+54 9 3621 2073,Alumno,DNI
Vicente,Gonzalez,31136038,vicente.gonzalez@gmail.com,+54 9 2971 1423,Alumno,DNI
Julieta,Alvarez,32459600,julieta.alvarez@gmail.com,+54 9 3170 3456,Alumno,DNI
Jeremias,Figueroa,33568791,jeremias.figueroa@gmail.com,+54 9 2577 0480,Alumno,DNI
Agustín,Vargas,43507384,agustin.vargas25@outlook.com,+54 9 3327 7831,Alumno,DNI
Valentino,Paz,32604998,valentino.paz@gmail.com,+54 9 2165 0154,Alumno,DNI
Valentino,Cabrera,44544802,valentino.cabrera25@outlook.com,+54 9 2156 5497,Alumno,DNI
Maximo,Romero,33418893,maximo.romero@gmail.com,+54 9 2655 6620,Alumno,DNI
Ana Paula,Hernandez,33201122,ana.paula.hernandez@gmail.com,+54 9 3117 9767,Alumno,DNI
Tiziano,Gomez,33792064,tiziano.gomez@gmail.com,+54 9 2343 7952,Alumno,DNI
Angel Gabriel,Diaz,31786305,angel.gabriel.diaz@gmail.com,+54 9 3746 8800,Alumno,DNI
Micaela,Rodriguez,43678310,micaela.rodriguez25@outlook.com,+54 9 3700 6729,Alumno,DNI
Lourdes,Correa,43690930,lourdes.correa25@outlook.com,+54 9 3569 7113,Alumno,DNI
Francisco,Nuñez,31221561,francisco.nunez@gmail.com,+54 9 2303 8793,Alumno,DNI
Priscila,Muñoz,47731681,priscila.munoz25@outlook.com,+54 9 3757 5948,Alumno,DNI
Thiago Benjamin,Castillo,37799625,thiago.benjamin.castillo@gmail.com,+54 9 2976 0796,Alumno,DNI
Martina,Lopez,46890428,martina.lopez25@outlook.com,+54 9 2191 0910,Alumno,DNI
Alma,Sanchez,34316765,alma.sanchez@gmail.com,+54 9 2426 3934,Alumno,DNI
Santino,Acosta,32935035,santino.acosta@gmail.com,+54 9 3106 9475,Alumno,DNI
Juan Sebastian,Fernandez,44190336,juan.sebastian.fernandez25@outlook.com,+54 9 2892 9959,Alumno,DNI
Santino,Gonzalez,40175984,santino.gonzalez@gmail.com,+54 9 2323 4216,Alumno,DNI
Tomàs,Soria,31239788,tomas.soria@gmail.com,+54 9 2906 2250,Alumno,DNI
Tiziana,Fernandez,30674136,tiziana.fernandez@gmail.com,+54 9 3122 2104,Alumno,DNI
Thiago Leonel,Lopez,44197978,thiago.leonel.lopez25@outlook.com,+54 9 2665 4161,Alumno,DNI
Faustino,Gomez,45663240,faustino.gomez25@outlook.com,+54 9 2408 2797,Alumno,DNI
Tomas,Leiva,36996781,tomas.leiva@gmail.com,+54 9 2713 1844,Alumno,DNI
Pilar,Gonzalez,33518284,pilar.gonzalez@gmail.com,+54 9 3439 1905,Alumno,DNI
Joaquin,Pereyra,38714246,joaquin.pereyra@gmail.com,+54 9 3239 6010,Alumno,DNI
Martina,Medina,33614240,martina.medina@gmail.com,+54 9 3418 2700,Alumno,DNI
Guadalupe,Gonzalez,47075635,guadalupe.gonzalez25@outlook.com,+54 9 2419 6391,Alumno,DNI
Emma,Fernandez,38040781,emma.fernandez@gmail.com,+54 9 3641 7723,Alumno,DNI
Maximiliano,Moreno,34364066,maximiliano.moreno@gmail.com,+54 9 3974 4314,Alumno,DNI
Lucio,Lucero,43558573,lucio.lucero25@outlook.com,+54 9 3267 0444,Alumno,DNI
Emiliano,Gonzalez,32270986,emiliano.gonzalez@gmail.com,+54 9 2108 6227,Alumno,DNI
Abigail,Bravo,45225711,abigail.bravo25@outlook.com,+54 9 3623 4808,Alumno,DNI
Máximo,Dominguez,46193548,maximo.dominguez25@outlook.com,+54 9 3467 4424,Alumno,DNI
Juan Manuel,Gonzalez,43037722,juan.manuel.gonzalez25@outlook.com,+54 9 2320 0807,Alumno,DNI
Alma,Martinez,36742732,alma.martinez@gmail.com,+54 9 2929 3875,Alumno,DNI
Josefina,Avila,37091816,josefina.avila@gmail.com,+54 9 3271 7601,Alumno,DNI
Isabella,Alvarez,43871938,isabella.alvarez25@outlook.com,+54 9 3191 5405,Alumno,DNI
Rosario,Peralta,37335497,rosario.peralta@gmail.com,+54 9 2481 8075,Alumno,DNI
Nahiara Jazmin,Gomez,44086116,nahiara.jazmin.gomez25@outlook.com,+54 9 2811 3007,Alumno,DNI
Ciro,Campos,31681085,ciro.campos@gmail.com,+54 9 3430 5299,Alumno,DNI
Juan Ignacio,Martinez,41785959,juan.ignacio.martinez@gmail.com,+54 9 2848 6053,Alumno,DNI
Alma Jazmin,Lucero,47223646,alma.jazmin.lucero25@outlook.com,+54 9 3526 3368,Alumno,DNI
Emma,Rojas,35844073,emma.rojas@gmail.com,+54 9 3697 8656,Alumno,DNI
Julia,Garcia,34341037,julia.garcia@gmail.com,+54 9 3642 4333,Alumno,DNI
Joaquin,Suarez,44476887,joaquin.suarez25@outlook.com,+54 9 2166 7577,Alumno,DNI
Isabella,Rojas,45311516,isabella.rojas25@outlook.com,+54 9 2924 3437,Alumno,DNI
Maximo,Dominguez,45368291,maximo.dominguez25@outlook.com,+54 9 3136 3468,Alumno,DNI
Alma,Rodriguez,39796864,alma.rodriguez@gmail.com,+54 9 3771 9880,Alumno,DNI
Felicitas,Martinez,43652049,felicitas.martinez25@outlook.com,+54 9 2818 1118,Alumno,DNI
Juan Bautista,Acosta,31332769,juan.bautista.acosta@gmail.com,+54 9 2161 8024,Alumno,DNI
Luciano,Escobar,36219416,luciano.escobar@gmail.com,+54 9 3612 0056,Alumno,DNI
Clara,Carrizo,47221206,clara.carrizo25@outlook.com,+54 9 2569 5576,Alumno,DNI
Paulina,Muñoz,30301798,paulina.munoz@gmail.com,+54 9 2363 3856,Alumno,DNI
Mateo Joaquin,Godoy,31848115,mateo.joaquin.godoy@gmail.com,+54 9 2405 3759,Alumno,DNI
Alma,Flores,32028866,alma.flores@gmail.com,+54 9 3925 3441,Alumno,DNI
Juana,Fernandez,36234502,juana.fernandez@gmail.com,+54 9 3108 1615,Alumno,DNI
Matias,Moreno,40531804,matias.moreno@gmail.com,+54 9 2572 0376,Alumno,DNI
Bruno,Diaz,45544606,bruno.diaz25@outlook.com,+54 9 3150 0621,Alumno,DNI
Juan Ignacio,Godoy,45259638,juan.ignacio.godoy25@outlook.com,+54 9 3765 6971,Alumno,DNI
Lautaro Benjamin,Figueroa,37095694,lautaro.benjamin.figueroa@gmail.com,+54 9 2679 4827,Alumno,DNI
Benjamin,Gomez,40192554,benjamin.gomez@gmail.com,+54 9 3196 4533,Alumno,DNI
Elena,Castro,32496231,elena.castro@gmail.com,+54 9 3921 9876,Alumno,DNI
Maximiliano,Leiva,36858459,maximiliano.leiva@gmail.com,+54 9 2575 6363,Alumno,DNI
Catalina,Romero,33594873,catalina.romero@gmail.com,+54 9 2835 4023,Alumno,DNI
Mia,Gimenez,44490644,mia.gimenez25@outlook.com,+54 9 3250 3782,Alumno,DNI
Santino,Rodriguez,33479160,santino.rodriguez@gmail.com,+54 9 2497 0261,Alumno,DNI
Angelina,Pereyra,32789755,angelina.pereyra@gmail.com,+54 9 2962 5391,Alumno,DNI
Benicio,Cruz,34197558,benicio.cruz@gmail.com,+54 9 2156 1384,Alumno,DNI
Martina,Ferreyra,43344838,martina.ferreyra25@outlook.com,+54 9 2727 0701,Alumno,DNI
Juan Ignacio,Gomez,38531146,juan.ignacio.gomez@gmail.com,+54 9 2703 5360,Alumno,DNI
Ambar,Gonzalez,36145210,ambar.gonzalez@gmail.com,+54 9 2703 4941,Alumno,DNI
Victoria,Paez,47909977,victoria.paez25@outlook.com,+54 9 2470 1352,Alumno,DNI
Bianca,Soria,30395149,bianca.soria@gmail.com,+54 9 3777 1138,Alumno,DNI
Paloma,Aguirre,37659718,paloma.aguirre@gmail.com,+54 9 2626 3682,Alumno,DNI
Agustín,Navarro,41912939,agustin.navarro@gmail.com,+54 9 3115 9430,Alumno,DNI
Juana,Ramirez,31559920,juana.ramirez@gmail.com,+54 9 3665 4505,Alumno,DNI
Lara,Gonzalez,43605753,lara.gonzalez25@outlook.com,+54 9 2479 7242,Alumno,DNI
Malena,Rodriguez,44284579,malena.rodriguez25@outlook.com,+54 9 2440 9800,Alumno,DNI
Valentino,Diaz,40305444,valentino.diaz@gmail.com,+54 9 3909 7225,Alumno,DNI
Morena Jazmin,Gomez,39820530,morena.jazmin.gomez@gmail.com,+54 9 2599 8329,Alumno,DNI
Josefina,Lopez,43498834,josefina.lopez25@outlook.com,+54 9 2506 2420,Alumno,DNI
Juan Cruz,Flores,31349203,juan.cruz.flores@gmail.com,+54 9 3845 1594,Alumno,DNI
Bruno,Aguirre,44521729,bruno.aguirre25@outlook.com,+54 9 2498 5280,Alumno,DNI
Elena,Luna,44965151,elena.luna25@outlook.com,+54 9 3178 3640,Alumno,DNI
Benjamin,Roldan,34441439,benjamin.roldan@gmail.com,+54 9 3508 9831,Alumno,DNI
Maria Paz,Escobar,44101321,maria.paz.escobar25@outlook.com,+54 9 2610 2977,Alumno,DNI
Dylan Benjamin,Martinez,30125745,dylan.benjamin.martinez@gmail.com,+54 9 3339 9964,Alumno,DNI
Bautista Benjamin,Sosa,37679372,bautista.benjamin.sosa@gmail.com,+54 9 3430 3693,Alumno,DNI
Milena,Romero,46572742,milena.romero25@outlook.com,+54 9 3205 0052,Alumno,DNI
Luciano Benjamin,Ramos,30064860,luciano.benjamin.ramos@gmail.com,+54 9 3267 2391,Alumno,DNI
Mia Valentina,Gimenez,46966361,mia.valentina.gimenez25@outlook.com,+54 9 2560 1349,Alumno,DNI
Constantino,Acosta,34057124,constantino.acosta@gmail.com,+54 9 3853 6227,Alumno,DNI
Valentino,Fernandez,33381581,valentino.fernandez@gmail.com,+54 9 2319 9485,Alumno,DNI
Geronimo,Maidana,41234290,geronimo.maidana@gmail.com,+54 9 3633 4141,Alumno,DNI
Valentino,Torres,31486885,valentino.torres@gmail.com,+54 9 3638 2030,Alumno,DNI
Isabella,Pereyra,37013243,isabella.pereyra@gmail.com,+54 9 3889 3897,Alumno,DNI
Mia,Ponce,38946448,mia.ponce@gmail.com,+54 9 2465 8212,Alumno,DNI
Charo,Martinez,33379578,charo.martinez@gmail.com,+54 9 2680 9235,Alumno,DNI
Tobias,Cruz,39220415,tobias.cruz@gmail.com,+54 9 3555 5056,Alumno,DNI
Thiago Benjamin,Rodriguez,45711997,thiago.benjamin.rodriguez25@outlook.com,+54 9 2875 1684,Alumno,DNI
Priscila,Torres,45539704,priscila.torres25@outlook.com,+54 9 2693 1603,Alumno,DNI
Antonella,Morales,45775192,antonella.morales25@outlook.com,+54 9 2796 2692,Alumno,DNI
Santino,Duarte,38020693,santino.duarte@gmail.com,+54 9 2512 5398,Alumno,DNI
Salvador,Correa,34577564,salvador.correa@gmail.com,+54 9 2524 2874,Alumno,DNI
Facundo,Figueroa,34832335,facundo.figueroa@gmail.com,+54 9 3982 9731,Alumno,DNI
Mateo Benjamin,Gonzalez,34841664,mateo.benjamin.gonzalez@gmail.com,+54 9 3530 7559,Alumno,DNI
Isabella,Perez,40774819,isabella.perez@gmail.com,+54 9 3748 9884,Alumno,DNI
Julieta,Coronel,44025027,julieta.coronel25@outlook.com,+54 9 3966 2319,Alumno,DNI
Mia Jazmin,Duarte,36659434,mia.jazmin.duarte@gmail.com,+54 9 2178 1659,Alumno,DNI
Santino Gabriel,Diaz,34923335,santino.gabriel.diaz@gmail.com,+54 9 3245 9481,Alumno,DNI
Maximiliano,Molina,47607767,maximiliano.molina25@outlook.com,+54 9 2310 9539,Alumno,DNI
Renata,Dominguez,39160706,renata.dominguez@gmail.com,+54 9 3981 3766,Alumno,DNI
Julia,Gonzalez,30713710,julia.gonzalez@gmail.com,+54 9 2264 3330,Alumno,DNI
Olivia,Gonzalez,46762093,olivia.gonzalez25@outlook.com,+54 9 3271 5190,Alumno,DNI
Emanuel,Figueroa,39068971,emanuel.figueroa@gmail.com,+54 9 3938 6344,Alumno,DNI
Martina,Fernandez,40916647,martina.fernandez@gmail.com,+54 9 2289 9356,Alumno,DNI
Jeremias,Herrera,36971688,jeremias.herrera@gmail.com,+54 9 2368 4123,Alumno,DNI
Ana Paula,Pereyra,34785335,ana.paula.pereyra@gmail.com,+54 9 2960 0575,Alumno,DNI
Delfina,Fernandez,32098690,delfina.fernandez@gmail.com,+54 9 3395 3178,Alumno,DNI
Lisandro,Pereyra,40283838,lisandro.pereyra@gmail.com,+54 9 3211 8821,Alumno,DNI
Facundo,Ayala,43615605,facundo.ayala25@outlook.com,+54 9 3834 7596,Alumno,DNI
Tomas Benjamin,Lopez,46398361,tomas.benjamin.lopez25@outlook.com,+54 9 2126 0160,Alumno,DNI
Mora,Castillo,33452954,mora.castillo@gmail.com,+54 9 2662 4041,Alumno,DNI
Delfina,Aguero,34944058,delfina.aguero@gmail.com,+54 9 3980 8330,Alumno,DNI
