Numero_Documento__c,Codigo_Materia,ID_Importacion,Anio_Lectivo
34223113,IA-400,34223113_IA-400_2025-1,2025-1
41907942,NEG-400,41907942_NEG-400_2025-1,2025-1
31153469,UX-100,31153469_UX-100_2025-1,2025-1
36511898,DAT-305,36511898_DAT-305_2025-1,2025-1
44383216,UX-100,44383216_UX-100_2025-1,2025-1
40284355,NEG-400,40284355_NEG-400_2025-1,2025-1
46410216,GEN-101,46410216_GEN-101_2025-1,2025-1
44844263,UX-100,44844263_UX-100_2025-1,2025-1
40833222,DAT-305,40833222_DAT-305_2025-1,2025-1
40852091,DAT-305,40852091_DAT-305_2025-1,2025-1
43342517,DAT-305,43342517_DAT-305_2025-1,2025-1
44730308,NEG-400,44730308_NEG-400_2025-1,2025-1
44445238,DAT-101,44445238_DAT-101_2025-1,2025-1
40269989,DAT-201,40269989_DAT-201_2025-1,2025-1
30277884,MKT-200,30277884_MKT-200_2025-1,2025-1
35310111,DAT-305,35310111_DAT-305_2025-1,2025-1
33362152,DAT-201,33362152_DAT-201_2025-1,2025-1
40204911,DEV-101,40204911_DEV-101_2025-1,2025-1
47320705,NEG-400,47320705_NEG-400_2025-1,2025-1
44724307,DAT-101,44724307_DAT-101_2025-1,2025-1
41016204,DAT-305,41016204_DAT-305_2025-1,2025-1
32844429,DAT-305,32844429_DAT-305_2025-1,2025-1
44286872,GEN-101,44286872_GEN-101_2025-1,2025-1
37090862,DAT-201,37090862_DAT-201_2025-1,2025-1
32027618,GEN-101,32027618_GEN-101_2025-1,2025-1
45280236,DEV-101,45280236_DEV-101_2025-1,2025-1
30224289,MKT-200,30224289_MKT-200_2025-1,2025-1
40437078,DAT-101,40437078_DAT-101_2025-1,2025-1
30808375,UX-100,30808375_UX-100_2025-1,2025-1
34223113,DAT-101,34223113_DAT-101_2025-1,2025-1
37412229,IA-400,37412229_IA-400_2025-1,2025-1
33697024,MKT-200,33697024_MKT-200_2025-1,2025-1
30520054,DEV-101,30520054_DEV-101_2025-1,2025-1
35077928,IA-400,35077928_IA-400_2025-1,2025-1
44343339,DAT-201,44343339_DAT-201_2025-1,2025-1
43729856,NEG-400,43729856_NEG-400_2025-1,2025-1
31445923,IA-300,31445923_IA-300_2025-1,2025-1
38405437,IA-300,38405437_IA-300_2025-1,2025-1
46585675,IA-300,46585675_IA-300_2025-1,2025-1
40235116,DAT-201,40235116_DAT-201_2025-1,2025-1
31221480,IA-400,31221480_IA-400_2025-1,2025-1
40104822,MKT-200,40104822_MKT-200_2025-1,2025-1
37639684,DAT-305,37639684_DAT-305_2025-1,2025-1
33800391,IA-300,33800391_IA-300_2025-1,2025-1
44415606,GEN-101,44415606_GEN-101_2025-1,2025-1
31136038,DAT-201,31136038_DAT-201_2025-1,2025-1
32459600,DAT-101,32459600_DAT-101_2025-1,2025-1
33568791,IA-300,33568791_IA-300_2025-1,2025-1
43507384,DAT-101,43507384_DAT-101_2025-1,2025-1
32604998,IA-400,32604998_IA-400_2025-1,2025-1
44544802,IA-300,44544802_IA-300_2025-1,2025-1
33418893,GEN-101,33418893_GEN-101_2025-1,2025-1
33201122,DAT-101,33201122_DAT-101_2025-1,2025-1
33792064,DAT-101,33792064_DAT-101_2025-1,2025-1
31786305,NEG-400,31786305_NEG-400_2025-1,2025-1
43678310,DAT-305,43678310_DAT-305_2025-1,2025-1
43690930,DAT-101,43690930_DAT-101_2025-1,2025-1
31221561,GEN-101,31221561_GEN-101_2025-1,2025-1
47731681,DAT-305,47731681_DAT-305_2025-1,2025-1
41016204,UX-100,41016204_UX-100_2025-1,2025-1
37799625,DEV-101,37799625_DEV-101_2025-1,2025-1
46890428,DEV-101,46890428_DEV-101_2025-1,2025-1
34316765,DAT-305,34316765_DAT-305_2025-1,2025-1
32935035,DAT-101,32935035_DAT-101_2025-1,2025-1
44190336,DAT-305,44190336_DAT-305_2025-1,2025-1
40175984,IA-400,40175984_IA-400_2025-1,2025-1
31239788,DEV-101,31239788_DEV-101_2025-1,2025-1
30674136,NEG-400,30674136_NEG-400_2025-1,2025-1
44197978,IA-400,44197978_IA-400_2025-1,2025-1
45663240,GEN-101,45663240_GEN-101_2025-1,2025-1
36996781,IA-400,36996781_IA-400_2025-1,2025-1
33518284,DAT-201,33518284_DAT-201_2025-1,2025-1
38714246,IA-300,38714246_IA-300_2025-1,2025-1
33614240,GEN-101,33614240_GEN-101_2025-1,2025-1
47075635,DAT-305,47075635_DAT-305_2025-1,2025-1
38040781,NEG-400,38040781_NEG-400_2025-1,2025-1
34364066,NEG-400,34364066_NEG-400_2025-1,2025-1
43558573,DAT-201,43558573_DAT-201_2025-1,2025-1
45280236,NEG-400,45280236_NEG-400_2025-1,2025-1
32270986,MKT-200,32270986_MKT-200_2025-1,2025-1
45225711,UX-100,45225711_UX-100_2025-1,2025-1
46193548,DAT-305,46193548_DAT-305_2025-1,2025-1
43037722,DAT-101,43037722_DAT-101_2025-1,2025-1
36742732,DAT-101,36742732_DAT-101_2025-1,2025-1
37091816,DAT-305,37091816_DAT-305_2025-1,2025-1
43871938,DEV-101,43871938_DEV-101_2025-1,2025-1
37335497,IA-400,37335497_IA-400_2025-1,2025-1
37639684,DAT-101,37639684_DAT-101_2025-1,2025-1
44086116,UX-100,44086116_UX-100_2025-1,2025-1
31681085,DEV-101,31681085_DEV-101_2025-1,2025-1
41785959,IA-300,41785959_IA-300_2025-1,2025-1
47223646,DAT-101,47223646_DAT-101_2025-1,2025-1
35844073,NEG-400,35844073_NEG-400_2025-1,2025-1
34341037,IA-400,34341037_IA-400_2025-1,2025-1
44476887,GEN-101,44476887_GEN-101_2025-1,2025-1
37412229,DEV-101,37412229_DEV-101_2025-1,2025-1
45311516,IA-400,45311516_IA-400_2025-1,2025-1
45368291,UX-100,45368291_UX-100_2025-1,2025-1
39796864,IA-400,39796864_IA-400_2025-1,2025-1
43652049,NEG-400,43652049_NEG-400_2025-1,2025-1
31332769,UX-100,31332769_UX-100_2025-1,2025-1
36219416,MKT-200,36219416_MKT-200_2025-1,2025-1
47221206,GEN-101,47221206_GEN-101_2025-1,2025-1
31239788,GEN-101,31239788_GEN-101_2025-1,2025-1
30301798,DEV-101,30301798_DEV-101_2025-1,2025-1
31848115,DAT-305,31848115_DAT-305_2025-1,2025-1
47075635,UX-100,47075635_UX-100_2025-1,2025-1
32028866,IA-400,32028866_IA-400_2025-1,2025-1
46193548,IA-400,46193548_IA-400_2025-1,2025-1
36234502,DAT-201,36234502_DAT-201_2025-1,2025-1
40531804,DEV-101,40531804_DEV-101_2025-1,2025-1
45544606,DAT-101,45544606_DAT-101_2025-1,2025-1
45259638,DAT-201,45259638_DAT-201_2025-1,2025-1
37095694,GEN-101,37095694_GEN-101_2025-1,2025-1
40192554,IA-300,40192554_IA-300_2025-1,2025-1
32496231,DAT-201,32496231_DAT-201_2025-1,2025-1
31332769,NEG-400,31332769_NEG-400_2025-1,2025-1
31681085,UX-100,31681085_UX-100_2025-1,2025-1
33201122,DAT-305,33201122_DAT-305_2025-1,2025-1
36858459,DAT-101,36858459_DAT-101_2025-1,2025-1
33594873,GEN-101,33594873_GEN-101_2025-1,2025-1
44490644,NEG-400,44490644_NEG-400_2025-1,2025-1
33479160,DAT-305,33479160_DAT-305_2025-1,2025-1
32789755,DAT-305,32789755_DAT-305_2025-1,2025-1
34197558,IA-400,34197558_IA-400_2025-1,2025-1
43344838,DAT-305,43344838_DAT-305_2025-1,2025-1
38531146,GEN-101,38531146_GEN-101_2025-1,2025-1
36145210,GEN-101,36145210_GEN-101_2025-1,2025-1
47909977,UX-100,47909977_UX-100_2025-1,2025-1
30395149,DEV-101,30395149_DEV-101_2025-1,2025-1
37659718,NEG-400,37659718_NEG-400_2025-1,2025-1
41912939,IA-400,41912939_IA-400_2025-1,2025-1
