ID_Evaluacion,ID_Inscripcion,Fecha_Lista,Nota,Estado
34223113_IA-400_2025-1_2025-03-01,34223113_IA-400_2025-1,2025-03-01,8,Aprobado
41907942_NEG-400_2025-1_2025-03-01,41907942_NEG-400_2025-1,2025-03-01,1,Desaprobado
31153469_UX-100_2025-1_2025-03-01,31153469_UX-100_2025-1,2025-03-01,7,Aprobado
36511898_DAT-305_2025-1_2025-03-01,36511898_DAT-305_2025-1,2025-03-01,10,Aprobado
44383216_UX-100_2025-1_2025-03-01,44383216_UX-100_2025-1,2025-03-01,7,Aprobado
40284355_NEG-400_2025-1_2025-03-01,40284355_NEG-400_2025-1,2025-03-01,4,Aprobado
46410216_GEN-101_2025-1_2025-03-01,46410216_GEN-101_2025-1,2025-03-01,2,Desaprobado
44844263_UX-100_2025-1_2025-03-01,44844263_UX-100_2025-1,2025-03-01,7,Aprobado
40833222_DAT-305_2025-1_2025-03-01,40833222_DAT-305_2025-1,2025-03-01,2,Desaprobado
40852091_DAT-305_2025-1_2025-03-01,40852091_DAT-305_2025-1,2025-03-01,10,Aprobado
43342517_DAT-305_2025-1_2025-03-01,43342517_DAT-305_2025-1,2025-03-01,8,Aprobado
44730308_NEG-400_2025-1_2025-03-01,44730308_NEG-400_2025-1,2025-03-01,3,Desaprobado
44445238_DAT-101_2025-1_2025-03-01,44445238_DAT-101_2025-1,2025-03-01,1,Desaprobado
40269989_DAT-201_2025-1_2025-03-01,40269989_DAT-201_2025-1,2025-03-01,1,Desaprobado
30277884_MKT-200_2025-1_2025-03-01,30277884_MKT-200_2025-1,2025-03-01,3,Desaprobado
35310111_DAT-305_2025-1_2025-03-01,35310111_DAT-305_2025-1,2025-03-01,8,Aprobado
33362152_DAT-201_2025-1_2025-03-01,33362152_DAT-201_2025-1,2025-03-01,4,Aprobado
40204911_DEV-101_2025-1_2025-03-01,40204911_DEV-101_2025-1,2025-03-01,9,Aprobado
47320705_NEG-400_2025-1_2025-03-01,47320705_NEG-400_2025-1,2025-03-01,9,Aprobado
44724307_DAT-101_2025-1_2025-03-01,44724307_DAT-101_2025-1,2025-03-01,8,Aprobado
41016204_DAT-305_2025-1_2025-03-01,41016204_DAT-305_2025-1,2025-03-01,9,Aprobado
32844429_DAT-305_2025-1_2025-03-01,32844429_DAT-305_2025-1,2025-03-01,1,Desaprobado
44286872_GEN-101_2025-1_2025-03-02,44286872_GEN-101_2025-1,2025-03-02,1,Desaprobado
37090862_DAT-201_2025-1_2025-03-02,37090862_DAT-201_2025-1,2025-03-02,1,Desaprobado
32027618_GEN-101_2025-1_2025-03-02,32027618_GEN-101_2025-1,2025-03-02,6,Aprobado
45280236_DEV-101_2025-1_2025-03-02,45280236_DEV-101_2025-1,2025-03-02,9,Aprobado
30224289_MKT-200_2025-1_2025-03-02,30224289_MKT-200_2025-1,2025-03-02,10,Aprobado
40437078_DAT-101_2025-1_2025-03-02,40437078_DAT-101_2025-1,2025-03-02,1,Desaprobado
30808375_UX-100_2025-1_2025-03-02,30808375_UX-100_2025-1,2025-03-02,5,Aprobado
34223113_DAT-101_2025-1_2025-03-02,34223113_DAT-101_2025-1,2025-03-02,3,Desaprobado
37412229_IA-400_2025-1_2025-03-02,37412229_IA-400_2025-1,2025-03-02,3,Desaprobado
33697024_MKT-200_2025-1_2025-03-02,33697024_MKT-200_2025-1,2025-03-02,8,Aprobado
30520054_DEV-101_2025-1_2025-03-02,30520054_DEV-101_2025-1,2025-03-02,7,Aprobado
35077928_IA-400_2025-1_2025-03-02,35077928_IA-400_2025-1,2025-03-02,6,Aprobado
44343339_DAT-201_2025-1_2025-03-02,44343339_DAT-201_2025-1,2025-03-02,5,Aprobado
43729856_NEG-400_2025-1_2025-03-03,43729856_NEG-400_2025-1,2025-03-03,2,Desaprobado
31445923_IA-300_2025-1_2025-03-03,31445923_IA-300_2025-1,2025-03-03,10,Aprobado
38405437_IA-300_2025-1_2025-03-03,38405437_IA-300_2025-1,2025-03-03,2,Desaprobado
46585675_IA-300_2025-1_2025-03-03,46585675_IA-300_2025-1,2025-03-03,4,Aprobado
40235116_DAT-201_2025-1_2025-03-03,40235116_DAT-201_2025-1,2025-03-03,6,Aprobado
31221480_IA-400_2025-1_2025-03-03,31221480_IA-400_2025-1,2025-03-03,3,Desaprobado
40104822_MKT-200_2025-1_2025-03-03,40104822_MKT-200_2025-1,2025-03-03,8,Aprobado
