Nombre,Apellido,Numero_Documento__c,Email,Telefono,Rol__c,Tipo_Documento__c
Bastian,Torres,45147679,bastian.torres@outlook.com,+54 9 2120 6852,Alumno,DNI
Valentina,Paz,33789545,valentina.paz@gmail.com,+54 9 2627 6570,Alumno,DNI
Guadalupe,Coronel,34250668,guadalupe.coronel@yahoo.com,+54 9 3594 5990,Alumno,DNI
Camilo,Acosta,41943395,camilo.acosta@yahoo.com,+54 9 3164 7718,Alumno,DNI
Luciana,Rodriguez,37706458,luciana.rodriguez@yahoo.com,+54 9 2168 5585,Alumno,DNI
Luna,Suarez,30309712,luna.suarez@hotmail.com,+54 9 2833 8901,Alumno,DNI
Morena,Romero,43539600,,+54 9 2431 8055,Alumno,DNI
Máximo,Rodriguez,32343092,maximo.rodriguez@yahoo.com,+54 9 2693 4828,Alumno,DNI
Mateo,Moreno,45688788,mateo.moreno@hotmail.com,+54 9 3709 2027,Alumno,DNI
Mateo,Dominguez,45130131,mateo.dominguez@hotmail.com,+54 9 2147 5969,Alumno,DNI
Geronimo,Soria,41111676,geronimo.soria@gmail.com,+54 9 3145 1502,Alumno,DNI
Milagros,Soria,44047721,,+54 9 3617 8080,Alumno,DNI
Tomàs,Gonzalez,37513790,tomas.gonzalez@hotmail.com,+54 9 2501 9384,Alumno,DNI
Martina,Gomez,43449566,martina.gomez@hotmail.com,+54 9 3561 0521,Alumno,DNI
Benjamin,Molina,31303564,benjamin.molina@gmail.com,+54 9 3624 3883,Alumno,DNI
Tomàs,Sanchez,39074649,tomas.sanchez@outlook.com,+54 9 2177 5226,Alumno,DNI
Alexander,Soto,30542692,alexander.soto@yahoo.com,+54 9 3295 3328,Alumno,DNI
Valentin,Alvarez,34508314,valentin.alvarez@yahoo.com,+54 9 2368 3900,Alumno,DNI
Lautaro,Sosa,38811418,lautaro.sosa@outlook.com,+54 9 3409 7570,Alumno,DNI
Juan Martin,Rodriguez,35891432,juan.martin.rodriguez@yahoo.com,+54 9 2905 1290,Alumno,DNI
Ludmila,Lopez,36163868,ludmila.lopez@gmail.com,+54 9 2343 3079,Alumno,DNI
Dante,Romero,38677145,dante.romero@outlook.com,+54 9 2961 0720,Alumno,DNI
Milena,Suarez,32971550,milena.suarez@yahoo.com,+54 9 3191 4580,Alumno,DNI
Tomàs,Juarez,30348701,tomas.juarez@yahoo.com,+54 9 2950 1285,Alumno,DNI
Benjamin,Hernandez,41944353,benjamin.hernandez@outlook.com,+54 9 2219 9785,Alumno,DNI
Santino,Gonzalez,44313136,santino.gonzalez@hotmail.com,+54 9 2861 3870,Alumno,DNI
Thiago Nicolas,Roldan,31763113,thiago.nicolas.roldan@outlook.com,+54 9 2597 1174,Alumno,DNI
Violeta,Suarez,37085503,violeta.suarez@gmail.com,+54 9 3945 4441,Alumno,DNI
Faustino,Suarez,40578248,faustino.suarez@yahoo.com,+54 9 3577 8183,Alumno,DNI
Valentino,Suarez,33541682,valentino.suarez@gmail.com,+54 9 3650 2039,Alumno,DNI
Joaquin,Rodriguez,44012569,joaquin.rodriguez@yahoo.com,+54 9 2125 1380,Alumno,DNI
Milena,Diaz,42500015,milena.diaz@hotmail.com,+54 9 2395 1848,Alumno,DNI
Juana,Ramos,45840080,,+54 9 2542 4466,Alumno,DNI
Alfonsina,Carrizo,35376871,alfonsina.carrizo@outlook.com,+54 9 3228 1938,Alumno,DNI
Joaquin,Lopez,39696052,joaquin.lopez@gmail.com,+54 9 3266 5055,Alumno,DNI
Felipe,Acosta,30117903,,+54 9 2561 7615,Alumno,DNI
Maria Paz,Rojas,41068300,maria.paz.rojas@yahoo.com,+54 9 2596 3705,Alumno,DNI
Gonzalo,Garcia,35620137,gonzalo.garcia@outlook.com,+54 9 3892 2082,Alumno,DNI
Santino,Dominguez,38207316,santino.dominguez@gmail.com,+54 9 2730 0517,Alumno,DNI
Valentina,Fernandez,42254691,valentina.fernandez@gmail.com,+54 9 2224 4536,Alumno,DNI
