ID_Evaluacion,ID_Inscripcion,Fecha_Lista,Nota,Estado
45147679_GEN-101_2024-1_2024-03-01,45147679_GEN-101_2024-1,2024-03-01,10,Aprobado
33789545_DAT-201_2024-1_2024-03-01,33789545_DAT-201_2024-1,2024-03-01,1,Desaprobado
34250668_DEV-101_2024-1_2024-03-01,34250668_DEV-101_2024-1,2024-03-01,7,Aprobado
41943395_GEN-101_2024-1_2024-03-01,41943395_GEN-101_2024-1,2024-03-01,8,Aprobado
37706458_IA-300_2024-1_2024-03-01,37706458_IA-300_2024-1,2024-03-01,5,Aprobado
30309712_NEG-400_2024-1_2024-03-01,30309712_NEG-400_2024-1,2024-03-01,3,Desaprobado
43539600_NEG-400_2024-1_2024-03-02,43539600_NEG-400_2024-1,2024-03-02,5,Aprobado
32343092_MKT-200_2024-1_2024-03-02,32343092_MKT-200_2024-1,2024-03-02,3,Desaprobado
45688788_DAT-201_2024-1_2024-03-02,45688788_DAT-201_2024-1,2024-03-02,10,Aprobado
45130131_IA-300_2024-1_2024-03-02,45130131_IA-300_2024-1,2024-03-02,8,Aprobado
41111676_DAT-201_2024-1_2024-03-02,41111676_DAT-201_2024-1,2024-03-02,2,Desaprobado
44047721_MKT-200_2024-1_2024-03-02,44047721_MKT-200_2024-1,2024-03-02,4,Aprobado
37513790_UX-100_2024-1_2024-03-02,37513790_UX-100_2024-1,2024-03-02,5,Aprobado
43449566_DEV-101_2024-1_2024-03-02,43449566_DEV-101_2024-1,2024-03-02,6,Aprobado
31303564_DAT-201_2024-1_2024-03-03,31303564_DAT-201_2024-1,2024-03-03,6,Aprobado
39074649_DEV-101_2024-1_2024-03-03,39074649_DEV-101_2024-1,2024-03-03,9,Aprobado
30542692_NEG-400_2024-1_2024-03-03,30542692_NEG-400_2024-1,2024-03-03,10,Aprobado
34508314_NEG-400_2024-1_2024-03-03,34508314_NEG-400_2024-1,2024-03-03,10,Aprobado
38811418_NEG-400_2024-1_2024-03-03,38811418_NEG-400_2024-1,2024-03-03,6,Aprobado
35891432_DAT-101_2024-1_2024-03-03,35891432_DAT-101_2024-1,2024-03-03,3,Desaprobado
36163868_DAT-101_2024-1_2024-03-04,36163868_DAT-101_2024-1,2024-03-04,7,Aprobado
38677145_DEV-101_2024-1_2024-03-04,38677145_DEV-101_2024-1,2024-03-04,4,Aprobado
32971550_UX-100_2024-1_2024-03-04,32971550_UX-100_2024-1,2024-03-04,3,Desaprobado
30348701_IA-300_2024-1_2024-03-04,30348701_IA-300_2024-1,2024-03-04,9,Aprobado
41944353_DAT-101_2024-1_2024-03-04,41944353_DAT-101_2024-1,2024-03-04,7,Aprobado
44313136_DAT-101_2024-1_2024-03-04,44313136_DAT-101_2024-1,2024-03-04,2,Desaprobado
31763113_UX-100_2024-1_2024-03-04,31763113_UX-100_2024-1,2024-03-04,4,Aprobado
37085503_DEV-101_2024-1_2024-03-05,37085503_DEV-101_2024-1,2024-03-05,2,Desaprobado
40578248_MKT-200_2024-1_2024-03-05,40578248_MKT-200_2024-1,2024-03-05,10,Aprobado
33541682_UX-100_2024-1_2024-03-05,33541682_UX-100_2024-1,2024-03-05,4,Aprobado
44012569_GEN-101_2024-1_2024-03-05,44012569_GEN-101_2024-1,2024-03-05,9,Aprobado
42500015_DAT-101_2024-1_2024-03-05,42500015_DAT-101_2024-1,2024-03-05,2,Desaprobado
45840080_DAT-101_2024-1_2024-03-05,45840080_DAT-101_2024-1,2024-03-05,10,Aprobado
35376871_NEG-400_2024-1_2024-03-05,35376871_NEG-400_2024-1,2024-03-05,1,Desaprobado
39696052_GEN-101_2024-1_2024-03-05,39696052_GEN-101_2024-1,2024-03-05,8,Aprobado
30117903_IA-300_2024-1_2024-03-05,30117903_IA-300_2024-1,2024-03-05,7,Aprobado
41068300_IA-300_2024-1_2024-03-05,41068300_IA-300_2024-1,2024-03-05,3,Desaprobado
35620137_NEG-400_2024-1_2024-03-05,35620137_NEG-400_2024-1,2024-03-05,1,Desaprobado
38207316_DEV-101_2024-1_2024-03-05,38207316_DEV-101_2024-1,2024-03-05,4,Aprobado
42254691_IA-300_2024-1_2024-03-06,42254691_IA-300_2024-1,2024-03-06,8,Aprobado
44635112_IA-300_2024-1_2024-03-06,44635112_IA-300_2024-1,2024-03-06,6,Aprobado
41289550_UX-100_2024-1_2024-03-06,41289550_UX-100_2024-1,2024-03-06,9,Aprobado
45656190_DAT-101_2024-1_2024-03-06,45656190_DAT-101_2024-1,2024-03-06,5,Aprobado
31621161_MKT-200_2024-1_2024-03-06,31621161_MKT-200_2024-1,2024-03-06,7,Aprobado
42845702_MKT-200_2024-1_2024-03-06,42845702_MKT-200_2024-1,2024-03-06,5,Aprobado
35420584_IA-300_2024-1_2024-03-06,35420584_IA-300_2024-1,2024-03-06,10,Aprobado
36369209_UX-100_2024-1_2024-03-06,36369209_UX-100_2024-1,2024-03-06,9,Aprobado
43625205_UX-100_2024-1_2024-03-06,43625205_UX-100_2024-1,2024-03-06,1,Desaprobado
44094966_DAT-201_2024-1_2024-03-07,44094966_DAT-201_2024-1,2024-03-07,10,Aprobado
35824110_GEN-101_2024-1_2024-03-07,35824110_GEN-101_2024-1,2024-03-07,6,Aprobado
40033579_UX-100_2024-1_2024-03-07,40033579_UX-100_2024-1,2024-03-07,8,Aprobado
38194575_DAT-101_2024-1_2024-03-07,38194575_DAT-101_2024-1,2024-03-07,6,Aprobado
33952849_DAT-201_2024-1_2024-03-07,33952849_DAT-201_2024-1,2024-03-07,5,Aprobado
32991581_GEN-101_2024-1_2024-03-08,32991581_GEN-101_2024-1,2024-03-08,5,Aprobado
41885509_NEG-400_2024-1_2024-03-08,41885509_NEG-400_2024-1,2024-03-08,4,Aprobado
33838303_GEN-101_2024-1_2024-03-08,33838303_GEN-101_2024-1,2024-03-08,10,Aprobado
36279807_NEG-400_2024-1_2024-03-08,36279807_NEG-400_2024-1,2024-03-08,7,Aprobado
42208457_DAT-201_2024-1_2024-03-08,42208457_DAT-201_2024-1,2024-03-08,7,Aprobado
38750180_UX-100_2024-1_2024-03-08,38750180_UX-100_2024-1,2024-03-08,5,Aprobado
37222211_DEV-101_2024-1_2024-03-08,37222211_DEV-101_2024-1,2024-03-08,2,Desaprobado
38645258_MKT-200_2024-1_2024-03-09,38645258_MKT-200_2024-1,2024-03-09,6,Aprobado
37604035_DAT-201_2024-1_2024-03-09,37604035_DAT-201_2024-1,2024-03-09,1,Desaprobado
32160000_DEV-101_2024-1_2024-03-09,32160000_DEV-101_2024-1,2024-03-09,4,Aprobado
38223982_UX-100_2024-1_2024-03-09,38223982_UX-100_2024-1,2024-03-09,2,Desaprobado
41289550_MKT-200_2024-1_2024-03-09,41289550_MKT-200_2024-1,2024-03-09,6,Aprobado
33081027_UX-100_2024-1_2024-03-09,33081027_UX-100_2024-1,2024-03-09,9,Aprobado
32349994_UX-100_2024-1_2024-03-09,32349994_UX-100_2024-1,2024-03-09,9,Aprobado
34636803_MKT-200_2024-1_2024-03-09,34636803_MKT-200_2024-1,2024-03-09,4,Aprobado
38629655_IA-300_2024-1_2024-03-10,38629655_IA-300_2024-1,2024-03-10,3,Desaprobado
36015798_UX-100_2024-1_2024-03-10,36015798_UX-100_2024-1,2024-03-10,10,Aprobado
37951141_DAT-101_2024-1_2024-03-10,37951141_DAT-101_2024-1,2024-03-10,4,Aprobado
39734889_GEN-101_2024-1_2024-03-10,39734889_GEN-101_2024-1,2024-03-10,2,Desaprobado
41134242_GEN-101_2024-1_2024-03-10,41134242_GEN-101_2024-1,2024-03-10,9,Aprobado
31379964_GEN-101_2024-1_2024-03-10,31379964_GEN-101_2024-1,2024-03-10,9,Aprobado
45752068_DAT-101_2024-1_2024-03-10,45752068_DAT-101_2024-1,2024-03-10,1,Desaprobado
37795993_DEV-101_2024-1_2024-03-10,37795993_DEV-101_2024-1,2024-03-10,1,Desaprobado
36128228_MKT-200_2024-1_2024-03-10,36128228_MKT-200_2024-1,2024-03-10,6,Aprobado
33155313_DAT-101_2024-1_2024-03-11,33155313_DAT-101_2024-1,2024-03-11,7,Aprobado
31187731_MKT-200_2024-1_2024-03-11,31187731_MKT-200_2024-1,2024-03-11,9,Aprobado
30507337_IA-300_2024-1_2024-03-11,30507337_IA-300_2024-1,2024-03-11,3,Desaprobado
33195960_GEN-101_2024-1_2024-03-11,33195960_GEN-101_2024-1,2024-03-11,6,Aprobado
35524090_MKT-200_2024-1_2024-03-11,35524090_MKT-200_2024-1,2024-03-11,6,Aprobado
35081927_DAT-201_2024-1_2024-03-12,35081927_DAT-201_2024-1,2024-03-12,5,Aprobado
35845730_NEG-400_2024-1_2024-03-12,35845730_NEG-400_2024-1,2024-03-12,5,Aprobado
42574929_IA-300_2024-1_2024-03-12,42574929_IA-300_2024-1,2024-03-12,8,Aprobado
31370404_GEN-101_2024-1_2024-03-12,31370404_GEN-101_2024-1,2024-03-12,3,Desaprobado
35915007_DAT-201_2024-1_2024-03-12,35915007_DAT-201_2024-1,2024-03-12,8,Aprobado
35589315_DEV-101_2024-1_2024-03-12,35589315_DEV-101_2024-1,2024-03-12,6,Aprobado
32200927_MKT-200_2024-1_2024-03-12,32200927_MKT-200_2024-1,2024-03-12,10,Aprobado
42305779_DAT-101_2024-1_2024-03-13,42305779_DAT-101_2024-1,2024-03-13,5,Aprobado
40988877_NEG-400_2024-1_2024-03-13,40988877_NEG-400_2024-1,2024-03-13,9,Aprobado
32150912_GEN-101_2024-1_2024-03-13,32150912_GEN-101_2024-1,2024-03-13,4,Aprobado
34471842_NEG-400_2024-1_2024-03-13,34471842_NEG-400_2024-1,2024-03-13,7,Aprobado
33988348_NEG-400_2024-1_2024-03-13,33988348_NEG-400_2024-1,2024-03-13,1,Desaprobado
31554768_IA-300_2024-1_2024-03-13,31554768_IA-300_2024-1,2024-03-13,3,Desaprobado
41754338_IA-300_2024-1_2024-03-14,41754338_IA-300_2024-1,2024-03-14,1,Desaprobado
32474711_IA-300_2024-1_2024-03-14,32474711_IA-300_2024-1,2024-03-14,6,Aprobado
41591741_NEG-400_2024-1_2024-03-14,41591741_NEG-400_2024-1,2024-03-14,1,Desaprobado
36117422_DAT-101_2024-1_2024-03-14,36117422_DAT-101_2024-1,2024-03-14,7,Aprobado
