"Nombre","Apellido","Numero_Documento__c","Email","Telefono","Rol__c","Tipo_Documento__c","ERROR"
"Valentino","Suarez","41065435","valentino.suarez@gmail.com","+54 9 3761 5014","Alumno","DNI","Use one of these records?"
"Catalina","Sanchez","41347543","catalina.sanchez@gmail.com","+54 9 3339 1715","Alumno","DNI","Use one of these records?"
"Lucia","Gonzalez","38720883","lucia.gonzalez@gmail.com","+54 9 2170 5701","Alumno","DNI","Use one of these records?"
"Santiago Benjamin","Lopez","39263332","santiago.benjamin.lopez@gmail.com","+54 9 3155 4721","Alumno","DNI","Use one of these records?"
"Benjamin","Gomez","31388447","benjamin.gomez@gmail.com","+54 9 3255 7426","Alumno","DNI","Use one of these records?"
"Sofia","Rodriguez","30367578","sofia.rodriguez@outlook.com","+54 9 3965 4385","Alumno","DNI","Use one of these records?"
"Lara","Rodriguez","41268285","lara.rodriguez@hotmail.com","+54 9 3151 9824","Alumno","DNI","Use one of these records?"
"Miguel Angel","Mansilla","35953678","miguel.angel.mansilla@outlook.com","+54 9 2331 2498","Alumno","DNI","Use one of these records?"
"Valentin","Martinez","35388639","valentin.martinez@gmail.com","+54 9 2514 8912","Alumno","DNI","Use one of these records?"
"Thiago Benjamin","Martinez","38928581","thiago.benjamin.martinez@gmail.com","+54 9 2568 2980","Alumno","DNI","Use one of these records?"
"Sofia","Gomez","34989772","sofia.gomez@outlook.com","+54 9 2743 4100","Alumno","DNI","Use one of these records?"
"Catalina","Martinez","39749714","catalina.martinez@gmail.com","+54 9 3973 0075","Alumno","DNI","Use one of these records?"
"Juan Ignacio","Fernandez","33878037","juan.ignacio.fernandez@outlook.com","+54 9 3283 3919","Alumno","DNI","Use one of these records?"
"Renata","Lopez","35854507","renata.lopez@yahoo.com","+54 9 2350 8482","Alumno","DNI","Use one of these records?"
"Felipe","Paez","37149339","felipe.paez@gmail.com","+54 9 3975 2796","Alumno","DNI","Use one of these records?"
"Sofia","Rodriguez","41564993","sofia.rodriguez@outlook.com","+54 9 2779 0712","Alumno","DNI","Use one of these records?"
"Mateo Agustin","Rodriguez","42473833","mateo.agustin.rodriguez@hotmail.com","+54 9 2273 6791","Alumno","DNI","Use one of these records?"
"Santino","Barrios","30910226","santino.barrios@hotmail.com","+54 9 3600 8433","Alumno","DNI","Use one of these records?"
