"Numero_Documento__c","Codigo_Materia","ID_Importacion","Anio_Lectivo","ERROR"
"45147679","GEN-101","45147679_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"33789545","DAT-201","33789545_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"34250668","DEV-101","34250668_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41943395","GEN-101","41943395_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"37706458","IA-300","37706458_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"30309712","NEG-400","30309712_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"43539600","NEG-400","43539600_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"32343092","MKT-200","32343092_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"45688788","DAT-201","45688788_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"45130131","IA-300","45130131_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41111676","DAT-201","41111676_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"44047721","MKT-200","44047721_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"37513790","UX-100","37513790_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"43449566","DEV-101","43449566_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"31303564","DAT-201","31303564_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"39074649","DEV-101","39074649_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"30542692","NEG-400","30542692_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"34508314","NEG-400","34508314_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38811418","NEG-400","38811418_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"35891432","DAT-101","35891432_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"36163868","DAT-101","36163868_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38677145","DEV-101","38677145_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"32971550","UX-100","32971550_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"30348701","IA-300","30348701_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41944353","DAT-101","41944353_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"44313136","DAT-101","44313136_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"31763113","UX-100","31763113_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"37085503","DEV-101","37085503_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"40578248","MKT-200","40578248_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"33541682","UX-100","33541682_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"44012569","GEN-101","44012569_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"42500015","DAT-101","42500015_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"45840080","DAT-101","45840080_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"35376871","NEG-400","35376871_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"39696052","GEN-101","39696052_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"30117903","IA-300","30117903_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41068300","IA-300","41068300_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"35620137","NEG-400","35620137_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38207316","DEV-101","38207316_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"42254691","IA-300","42254691_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"44635112","IA-300","44635112_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41289550","UX-100","41289550_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"45656190","DAT-101","45656190_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"31621161","MKT-200","31621161_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"42845702","MKT-200","42845702_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"35420584","IA-300","35420584_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"36369209","UX-100","36369209_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"43625205","UX-100","43625205_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"44094966","DAT-201","44094966_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"35824110","GEN-101","35824110_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"40033579","UX-100","40033579_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38194575","DAT-101","38194575_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"33952849","DAT-201","33952849_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"32991581","GEN-101","32991581_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41885509","NEG-400","41885509_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"33838303","GEN-101","33838303_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"36279807","NEG-400","36279807_NEG-400_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"42208457","DAT-201","42208457_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38750180","UX-100","38750180_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"37222211","DEV-101","37222211_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38645258","MKT-200","38645258_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"37604035","DAT-201","37604035_DAT-201_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"32160000","DEV-101","32160000_DEV-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38223982","UX-100","38223982_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"41289550","MKT-200","41289550_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"33081027","UX-100","33081027_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"32349994","UX-100","32349994_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"34636803","MKT-200","34636803_MKT-200_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"38629655","IA-300","38629655_IA-300_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"36015798","UX-100","36015798_UX-100_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"37951141","DAT-101","37951141_DAT-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
"39734889","GEN-101","39734889_GEN-101_2024","2024","Año Lectivo: bad value for restricted picklist field: 2024"
