"ID","Numero_Documento__c","Codigo_Materia","ID_Importacion","Anio_Lectivo","STATUS"
"a0Bbm00000m7ArpEAE","45147679","GEN-101","45147679_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArqEAE","33789545","DAT-201","33789545_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArrEAE","34250668","DEV-101","34250668_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArsEAE","41943395","GEN-101","41943395_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArtEAE","37706458","IA-300","37706458_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AruEAE","30309712","NEG-400","30309712_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArvEAE","43539600","NEG-400","43539600_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArwEAE","32343092","MKT-200","32343092_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArxEAE","45688788","DAT-201","45688788_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7AryEAE","45130131","IA-300","45130131_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7ArzEAE","41111676","DAT-201","41111676_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7As0EAE","44047721","MKT-200","44047721_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7As1EAE","37513790","UX-100","37513790_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7As2EAE","43449566","DEV-101","43449566_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7As3EAE","31303564","DAT-201","31303564_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7As4EAE","39074649","DEV-101","39074649_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7As5EAE","30542692","NEG-400","30542692_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7As6EAE","34508314","NEG-400","34508314_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7As7EAE","38811418","NEG-400","38811418_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7As8EAE","35891432","DAT-101","35891432_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7As9EAE","36163868","DAT-101","36163868_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsAEAU","38677145","DEV-101","38677145_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsBEAU","32971550","UX-100","32971550_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsCEAU","30348701","IA-300","30348701_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsDEAU","41944353","DAT-101","41944353_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsEEAU","44313136","DAT-101","44313136_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsFEAU","31763113","UX-100","31763113_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsGEAU","37085503","DEV-101","37085503_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsHEAU","40578248","MKT-200","40578248_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsIEAU","33541682","UX-100","33541682_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsJEAU","44012569","GEN-101","44012569_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsKEAU","42500015","DAT-101","42500015_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsLEAU","45840080","DAT-101","45840080_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsMEAU","35376871","NEG-400","35376871_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsNEAU","39696052","GEN-101","39696052_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsOEAU","30117903","IA-300","30117903_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsPEAU","41068300","IA-300","41068300_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsQEAU","35620137","NEG-400","35620137_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsREAU","38207316","DEV-101","38207316_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsSEAU","42254691","IA-300","42254691_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsTEAU","44635112","IA-300","44635112_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsUEAU","41289550","UX-100","41289550_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsVEAU","45656190","DAT-101","45656190_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsWEAU","31621161","MKT-200","31621161_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsXEAU","42845702","MKT-200","42845702_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsYEAU","35420584","IA-300","35420584_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsZEAU","36369209","UX-100","36369209_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsaEAE","43625205","UX-100","43625205_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsbEAE","44094966","DAT-201","44094966_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7AscEAE","35824110","GEN-101","35824110_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsdEAE","40033579","UX-100","40033579_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AseEAE","38194575","DAT-101","38194575_DAT-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsfEAE","33952849","DAT-201","33952849_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsgEAE","32991581","GEN-101","32991581_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AshEAE","41885509","NEG-400","41885509_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsiEAE","33838303","GEN-101","33838303_GEN-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsjEAE","36279807","NEG-400","36279807_NEG-400_2024-1","2024-1","Item Created"
"a0Bbm00000m7AskEAE","42208457","DAT-201","42208457_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7AslEAE","38750180","UX-100","38750180_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsmEAE","37222211","DEV-101","37222211_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsnEAE","38645258","MKT-200","38645258_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsoEAE","37604035","DAT-201","37604035_DAT-201_2024-1","2024-1","Item Created"
"a0Bbm00000m7AspEAE","32160000","DEV-101","32160000_DEV-101_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsqEAE","38223982","UX-100","38223982_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsrEAE","41289550","MKT-200","41289550_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7AssEAE","33081027","UX-100","33081027_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AstEAE","32349994","UX-100","32349994_UX-100_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsuEAE","34636803","MKT-200","34636803_MKT-200_2024-1","2024-1","Item Created"
"a0Bbm00000m7AsvEAE","38629655","IA-300","38629655_IA-300_2024-1","2024-1","Item Created"
"a0Bbm00000m7AswEAE","36015798","UX-100","36015798_UX-100_2024-1","2024-1","Item Created"
