"ID","ID_Evaluacion","ID_Inscripcion","Fecha_Lista","Nota","Estado","STATUS"
"a0Abm000006rhZeEAI","45147679_GEN-101_2024-1_2024-03-01","45147679_GEN-101_2024-1","2024-03-01","10","Aprobado","Item Created"
"a0Abm000006rhZfEAI","33789545_DAT-201_2024-1_2024-03-01","33789545_DAT-201_2024-1","2024-03-01","1","Desaprobado","Item Created"
"a0Abm000006rhZgEAI","34250668_DEV-101_2024-1_2024-03-01","34250668_DEV-101_2024-1","2024-03-01","7","Aprobado","Item Created"
"a0Abm000006rhZhEAI","41943395_GEN-101_2024-1_2024-03-01","41943395_GEN-101_2024-1","2024-03-01","8","Aprobado","Item Created"
"a0Abm000006rhZiEAI","37706458_IA-300_2024-1_2024-03-01","37706458_IA-300_2024-1","2024-03-01","5","Aprobado","Item Created"
"a0Abm000006rhZjEAI","30309712_NEG-400_2024-1_2024-03-01","30309712_NEG-400_2024-1","2024-03-01","3","Desaprobado","Item Created"
"a0Abm000006rhZkEAI","43539600_NEG-400_2024-1_2024-03-02","43539600_NEG-400_2024-1","2024-03-02","5","Aprobado","Item Created"
"a0Abm000006rhZlEAI","32343092_MKT-200_2024-1_2024-03-02","32343092_MKT-200_2024-1","2024-03-02","3","Desaprobado","Item Created"
"a0Abm000006rhZmEAI","45688788_DAT-201_2024-1_2024-03-02","45688788_DAT-201_2024-1","2024-03-02","10","Aprobado","Item Created"
"a0Abm000006rhZnEAI","45130131_IA-300_2024-1_2024-03-02","45130131_IA-300_2024-1","2024-03-02","8","Aprobado","Item Created"
"a0Abm000006rhZoEAI","41111676_DAT-201_2024-1_2024-03-02","41111676_DAT-201_2024-1","2024-03-02","2","Desaprobado","Item Created"
"a0Abm000006rhZpEAI","44047721_MKT-200_2024-1_2024-03-02","44047721_MKT-200_2024-1","2024-03-02","4","Aprobado","Item Created"
"a0Abm000006rhZqEAI","37513790_UX-100_2024-1_2024-03-02","37513790_UX-100_2024-1","2024-03-02","5","Aprobado","Item Created"
"a0Abm000006rhZrEAI","43449566_DEV-101_2024-1_2024-03-02","43449566_DEV-101_2024-1","2024-03-02","6","Aprobado","Item Created"
"a0Abm000006rhZsEAI","31303564_DAT-201_2024-1_2024-03-03","31303564_DAT-201_2024-1","2024-03-03","6","Aprobado","Item Created"
"a0Abm000006rhZtEAI","39074649_DEV-101_2024-1_2024-03-03","39074649_DEV-101_2024-1","2024-03-03","9","Aprobado","Item Created"
"a0Abm000006rhZuEAI","30542692_NEG-400_2024-1_2024-03-03","30542692_NEG-400_2024-1","2024-03-03","10","Aprobado","Item Created"
"a0Abm000006rhZvEAI","34508314_NEG-400_2024-1_2024-03-03","34508314_NEG-400_2024-1","2024-03-03","10","Aprobado","Item Created"
"a0Abm000006rhZwEAI","38811418_NEG-400_2024-1_2024-03-03","38811418_NEG-400_2024-1","2024-03-03","6","Aprobado","Item Created"
"a0Abm000006rhZxEAI","35891432_DAT-101_2024-1_2024-03-03","35891432_DAT-101_2024-1","2024-03-03","3","Desaprobado","Item Created"
"a0Abm000006rhZyEAI","36163868_DAT-101_2024-1_2024-03-04","36163868_DAT-101_2024-1","2024-03-04","7","Aprobado","Item Created"
"a0Abm000006rhZzEAI","38677145_DEV-101_2024-1_2024-03-04","38677145_DEV-101_2024-1","2024-03-04","4","Aprobado","Item Created"
"a0Abm000006rha0EAA","32971550_UX-100_2024-1_2024-03-04","32971550_UX-100_2024-1","2024-03-04","3","Desaprobado","Item Created"
"a0Abm000006rha1EAA","30348701_IA-300_2024-1_2024-03-04","30348701_IA-300_2024-1","2024-03-04","9","Aprobado","Item Created"
"a0Abm000006rha2EAA","41944353_DAT-101_2024-1_2024-03-04","41944353_DAT-101_2024-1","2024-03-04","7","Aprobado","Item Created"
"a0Abm000006rha3EAA","44313136_DAT-101_2024-1_2024-03-04","44313136_DAT-101_2024-1","2024-03-04","2","Desaprobado","Item Created"
"a0Abm000006rha4EAA","31763113_UX-100_2024-1_2024-03-04","31763113_UX-100_2024-1","2024-03-04","4","Aprobado","Item Created"
"a0Abm000006rha5EAA","37085503_DEV-101_2024-1_2024-03-05","37085503_DEV-101_2024-1","2024-03-05","2","Desaprobado","Item Created"
"a0Abm000006rha6EAA","40578248_MKT-200_2024-1_2024-03-05","40578248_MKT-200_2024-1","2024-03-05","10","Aprobado","Item Created"
"a0Abm000006rha7EAA","33541682_UX-100_2024-1_2024-03-05","33541682_UX-100_2024-1","2024-03-05","4","Aprobado","Item Created"
"a0Abm000006rha8EAA","44012569_GEN-101_2024-1_2024-03-05","44012569_GEN-101_2024-1","2024-03-05","9","Aprobado","Item Created"
"a0Abm000006rha9EAA","42500015_DAT-101_2024-1_2024-03-05","42500015_DAT-101_2024-1","2024-03-05","2","Desaprobado","Item Created"
"a0Abm000006rhaAEAQ","45840080_DAT-101_2024-1_2024-03-05","45840080_DAT-101_2024-1","2024-03-05","10","Aprobado","Item Created"
"a0Abm000006rhaBEAQ","35376871_NEG-400_2024-1_2024-03-05","35376871_NEG-400_2024-1","2024-03-05","1","Desaprobado","Item Created"
"a0Abm000006rhaCEAQ","39696052_GEN-101_2024-1_2024-03-05","39696052_GEN-101_2024-1","2024-03-05","8","Aprobado","Item Created"
"a0Abm000006rhaDEAQ","30117903_IA-300_2024-1_2024-03-05","30117903_IA-300_2024-1","2024-03-05","7","Aprobado","Item Created"
"a0Abm000006rhaEEAQ","41068300_IA-300_2024-1_2024-03-05","41068300_IA-300_2024-1","2024-03-05","3","Desaprobado","Item Created"
