"ID","Nombre","Apellido","Numero_Documento__c","Email","Telefono","Rol__c","Tipo_Documento__c","STATUS"
"003fj00000jX8mTAAS","Bastian","Torres","45147679","bastian.torres@outlook.com","+54 9 2120 6852","Alumno","DNI","Item Created"
"003fj00000jX8mUAAS","Valentina","Paz","33789545","valentina.paz@gmail.com","+54 9 2627 6570","Alumno","DNI","Item Created"
"003fj00000jX8mVAAS","Guadalupe","Coronel","34250668","guadalupe.coronel@yahoo.com","+54 9 3594 5990","Alumno","DNI","Item Created"
"003fj00000jX8mWAAS","Camilo","Acosta","41943395","camilo.acosta@yahoo.com","+54 9 3164 7718","Alumno","DNI","Item Created"
"003fj00000jX8mXAAS","Luciana","Rodriguez","37706458","luciana.rodriguez@yahoo.com","+54 9 2168 5585","Alumno","DNI","Item Created"
"003fj00000jX8mYAAS","Luna","Suarez","30309712","luna.suarez@hotmail.com","+54 9 2833 8901","Alumno","DNI","Item Created"
"003fj00000jX8mZAAS","Morena","Romero","43539600","","+54 9 2431 8055","Alumno","DNI","Item Created"
"003fj00000jX8maAAC","Máximo","Rodriguez","32343092","maximo.rodriguez@yahoo.com","+54 9 2693 4828","Alumno","DNI","Item Created"
"003fj00000jX8mbAAC","Mateo","Moreno","45688788","mateo.moreno@hotmail.com","+54 9 3709 2027","Alumno","DNI","Item Created"
"003fj00000jX8mcAAC","Mateo","Dominguez","45130131","mateo.dominguez@hotmail.com","+54 9 2147 5969","Alumno","DNI","Item Created"
"003fj00000jX8mdAAC","Geronimo","Soria","41111676","geronimo.soria@gmail.com","+54 9 3145 1502","Alumno","DNI","Item Created"
"003fj00000jX8meAAC","Milagros","Soria","44047721","","+54 9 3617 8080","Alumno","DNI","Item Created"
"003fj00000jX8mfAAC","Tomàs","Gonzalez","37513790","tomas.gonzalez@hotmail.com","+54 9 2501 9384","Alumno","DNI","Item Created"
"003fj00000jX8mgAAC","Martina","Gomez","43449566","martina.gomez@hotmail.com","+54 9 3561 0521","Alumno","DNI","Item Created"
"003fj00000jX8mhAAC","Benjamin","Molina","31303564","benjamin.molina@gmail.com","+54 9 3624 3883","Alumno","DNI","Item Created"
"003fj00000jX8miAAC","Tomàs","Sanchez","39074649","tomas.sanchez@outlook.com","+54 9 2177 5226","Alumno","DNI","Item Created"
"003fj00000jX8mjAAC","Alexander","Soto","30542692","alexander.soto@yahoo.com","+54 9 3295 3328","Alumno","DNI","Item Created"
"003fj00000jX8mkAAC","Valentin","Alvarez","34508314","valentin.alvarez@yahoo.com","+54 9 2368 3900","Alumno","DNI","Item Created"
"003fj00000jX8mlAAC","Lautaro","Sosa","38811418","lautaro.sosa@outlook.com","+54 9 3409 7570","Alumno","DNI","Item Created"
"003fj00000jX8mmAAC","Juan Martin","Rodriguez","35891432","juan.martin.rodriguez@yahoo.com","+54 9 2905 1290","Alumno","DNI","Item Created"
"003fj00000jX8mnAAC","Ludmila","Lopez","36163868","ludmila.lopez@gmail.com","+54 9 2343 3079","Alumno","DNI","Item Created"
"003fj00000jX8moAAC","Dante","Romero","38677145","dante.romero@outlook.com","+54 9 2961 0720","Alumno","DNI","Item Created"
