Nombre;Apellido;Numero_Documento__c;Email;Telefono;Rol__c;Tipo_Documento__c
Martin;Silva;30004548;martin.silva@gmail.com;+54927193815;Alumno;DNI
Thiago Lionel;Romero;30020248;thiago.lionel.romero@gmail.com;+54923636671;Alumno;DNI
Juan Cruz;Fernandez;30055060;juan.cruz.fernandez@outlook.com;+54923640323;Alumno;DNI
Dylan Ezequiel;Coronel;30055089;dylan.ezequiel.coronel@gmail.com;+54925148988;Alumno;DNI
Antonio;Aguero;30055439;antonio.aguero@gmail.com;+54932093344;Alumno;DNI
Mia Morena;Torres;30058812;mia.morena_torres24@nuevo-email.com;+54925888829;Alumno;DNI
Santino;Gonzalez;30060967;santino.gonzalez@gmail.com;+54929198172;Alumno;DNI
Luciano Benjamin;Ramos;30064860;luciano.benjamin.ramos@gmail.com;+54932672391;Alumno;DNI
Catalina;Martinez;30074046;catalina.martinez@gmail.com;+54933048866;Alumno;DNI
Mora;Diaz;30081724;mora.diaz@gmail.com;+54939246166;Alumno;DNI
Sol;Aguirre;30088172;sol.aguirre@yahoo.com;+54935802420;Alumno;DNI
Joaquin;Romero;30089193;joaquin.romero@gmail.com;+54937887975;Alumno;DNI
Tomás;Gomez;30098040;tomas.gomez@outlook.com;+54936036843;Alumno;DNI
Maximo;Molina;30106929;maximo.molina@gmail.com;+54935950394;Alumno;DNI
Juan Ignacio;Aguirre;30116169;juan.ignacio.aguirre@yahoo.com;+54933218845;Alumno;DNI
Felipe;Acosta;30117903;felipe_acosta24@nuevo-email.com;+54925617615;Alumno;DNI
Felipe;Perez;30123333;felipe.perez@yahoo.com;+54926040224;Alumno;DNI
Dylan Benjamin;Martinez;30125745;dylan.benjamin.martinez@gmail.com;+54933399964;Alumno;DNI
Santino;Barrios;30126752;santino.barrios@hotmail.com;+54931488939;Alumno;DNI
Juan Pablo;Benitez;30163309;juan.pablo.benitez@gmail.com;+54938382898;Alumno;DNI
Nahiara;Silva;30173121;nahiara.silva@gmail.com;+54925233685;Alumno;DNI
Catalina;Acuña;30174396;catalina.acuna@gmail.com;+54934723906;Alumno;DNI
Uma ;Chavez;30186819;uma.chavez@gmail.com;+54923689480;Alumno;DNI
Julia;Romero;30187041;julia.romero@gmail.com;+54933791814;Alumno;DNI
Santiago;Gimenez;30197508;santiago.gimenez@outlook.com;+54931960991;Alumno;DNI
Francisco;Garcia;30205757;francisco.garcia@gmail.com;+54931752323;Alumno;DNI
Thiago Emanuel;Vega;30216143;thiago.emanuel.vega@gmail.com;+54932493889;Alumno;DNI
Juan Bautista;Ramirez;30219683;juan.bautista.ramirez@gmail.com;+54928673355;Alumno;DNI
Joaquina;Martinez;30224289;joaquina.martinez@gmail.com;+54938748796;Alumno;DNI
Felipe;Nuñez;30226372;felipe.nunez@gmail.com;+54922022375;Alumno;DNI
Bautista;Rios;30227674;bautista.rios@gmail.com;+54934769371;Alumno;DNI
Lucas Benjamin;Roldan;30230499;lucas.benjamin.roldan@hotmail.com;+54938389647;Alumno;DNI
Giuliana;Gutierrez;30246491;giuliana.gutierrez@hotmail.com;+54934520334;Alumno;DNI
Felipe;Rojas;30252475;felipe.rojas@outlook.com;+54933938691;Alumno;DNI
Ciro;Ponce;30261560;ciro.ponce@gmail.com;+54933752661;Alumno;DNI
Augusto;Benitez;30263228;augusto.benitez@gmail.com;+54936190055;Alumno;DNI
Pedro;Duarte;30268860;pedro.duarte@gmail.com;+54932557541;Alumno;DNI
Gonzalo;Silva;30271801;gonzalo.silva@gmail.com;+54931803146;Alumno;DNI
Mateo;Ortiz;30277884;mateo.ortiz@gmail.com;+54922045454;Alumno;DNI
Mateo;Lopez;30278086;mateo.lopez@gmail.com;+54933743377;Alumno;DNI
Valentina;Martinez;30279612;valentina.martinez@outlook.com;+54921396410;Alumno;DNI
Juana;Chavez;30283080;juana.chavez@gmail.com;+54921122240;Alumno;DNI
Morena;Romero;30283834;morena.romero@gmail.com;+54928788010;Alumno;DNI
Agustín;Martinez;30294943;agustin.martinez@gmail.com;+54922989209;Alumno;DNI
Lola;Aguirre;30300658;lola.aguirre@outlook.com;+54926199992;Alumno;DNI
Mia Jazmin;Pereyra;30300948;mia.jazmin.pereyra@gmail.com;+54927833656;Alumno;DNI
Paulina;Muñoz;30301798;paulina.munoz@gmail.com;+54923633856;Alumno;DNI
Luna;Suarez;30309712;luna.suarez@hotmail.com;+54928338901;Alumno;DNI
Joaquin;Franco;30321355;joaquin.franco@yahoo.com;+54923340837;Alumno;DNI
Thiago Daniel;Gonzalez;30339434;thiago.daniel.gonzalez@yahoo.com;+54922176392;Alumno;DNI
Martina;Martinez;30342609;martina.martinez@gmail.com;+54928749345;Alumno;DNI
Juan Martin;Farias;30344498;juan.martin.farias@gmail.com;+54937200021;Alumno;DNI
Tomás;Juarez;30348701;tomas.juarez@yahoo.com;+54929501285;Alumno;DNI
Lautaro Benjamin;Rodriguez;30356437;lautaro.benjamin.rodriguez@gmail.com;+54922596158;Alumno;DNI
Luisina;Acosta;30359807;luisina.acosta@yahoo.com;+54924565564;Alumno;DNI
Ana Paula;Gomez;30362258;ana.paula.gomez@gmail.com;+54938416702;Alumno;DNI
Benjamin;Ramos;30362736;benjamin.ramos@gmail.com;+54936331683;Alumno;DNI
Thiago Ezequiel;Herrera;30365765;thiago.ezequiel.herrera@yahoo.com;+54939499501;Alumno;DNI
Agostina;Aguirre;30367040;agostina.aguirre@gmail.com;+54923704341;Alumno;DNI
Sofia;Rodriguez;30367578;sofia.rodriguez@outlook.com;+54939654385;Alumno;DNI
Constanza;Maidana;30370016;constanza.maidana@gmail.com;+54938587918;Alumno;DNI
Maria Paz;Velazquez;30377321;maria.paz.velazquez@gmail.com;+54929538715;Alumno;DNI
Lautaro Nicolas;Ramirez;30381511;lautaro.nicolas.ramirez@gmail.com;+54921935157;Alumno;DNI
Santiago;Mendoza;30382587;santiago.mendoza@gmail.com;+54932006730;Alumno;DNI
Bautista;Maldonado;30386246;bautista.maldonado@gmail.com;+54925117573;Alumno;DNI
Juan Bautista;Vargas;30386383;juan.bautista.vargas@gmail.com;+54926224096;Alumno;DNI
Francesca;Diaz;30394856;francesca.diaz@gmail.com;+54926110727;Alumno;DNI
Bianca;Soria;30395149;bianca.soria@gmail.com;+54937771138;Alumno;DNI
Francesca;Ledesma;30398761;francesca.ledesma@gmail.com;+54931282830;Alumno;DNI
Augusto;Fernandez;30413264;augusto.fernandez@yahoo.com;+54939271284;Alumno;DNI
Thiago Joaquin;Ruiz;30416964;thiago.joaquin.ruiz@gmail.com;+54926327060;Alumno;DNI
Ignacio;Maidana;30430162;ignacio.maidana@gmail.com;+54925905842;Alumno;DNI
Ciro;Bustos;30437958;ciro.bustos@gmail.com;+54936270325;Alumno;DNI
Lucía;Gonzalez;30445334;lucia.gonzalez@hotmail.com;+54936414214;Alumno;DNI
Lucas Benjamin;Sanchez;30445520;lucas.benjamin.sanchez@outlook.com;+54929732240;Alumno;DNI
Sara;Fernandez;30465936;sara.fernandez@hotmail.com;+54932608459;Alumno;DNI
Sebastian;Peralta;30469731;sebastian.peralta@gmail.com;+54939659347;Alumno;DNI
Clara;Medina;30483176;clara.medina@gmail.com;+54938445967;Alumno;DNI
