Numero_Documento__c;Codigo_Materia;ID_Importacion;Anio_Lectivo
30004548;DAT-101;30004548-DAT101;2024 - II
30020248;DAT-101;30020248-DAT101;2025 - II
30020248;UX-100;30020248-UX100;2025 - II
30020248;NEG-400;30020248-NEG400;2025 - II
30055060;DEV-101;30055060-DEV101;2024 - II
30055060;DAT-201;30055060-DAT201;2024 - II
30055089;DAT-101;30055089-DAT101;2025 - I
30055089;GEN-101;30055089-GEN101;2025 - II
30055439;GEN-101;30055439-GEN101;2025 - II
30055439;DAT-305;30055439-DAT305;2025 - I
30055439;IA-300;30055439-IA300;2025 - I
30058812;DEV-101;30058812-DEV101;2024 - II
30058812;DAT-201;30058812-DAT201;2024 - II
30058812;IA-300;30058812-IA300;2024 - I
30060967;DEV-101;30060967-DEV101;2025 - II
30060967;IA-400;30060967-IA400;2025 - II
30060967;DAT-101;30060967-DAT101;2025 - II
30060967;IA-300;30060967-IA300;2025 - II
30064860;DAT-201;30064860-DAT201;2025 - I
30064860;DAT-101;30064860-DAT101;2025 - II
30064860;DAT-305;30064860-DAT305;2025 - II
30064860;DEV-101;30064860-DEV101;2025 - I
30074046;IA-400;30074046-IA400;2025 - I
30074046;DAT-305;30074046-DAT305;2025 - I
30074046;MKT-200;30074046-MKT200;2025 - II
30081724;NEG-400;30081724-NEG400;2024 - II
30088172;DAT-101;30088172-DAT101;2024 - II
30089193;DAT-101;30089193-DAT101;2024 - I
30089193;MKT-200;30089193-MKT200;2024 - II
30098040;GEN-101;30098040-GEN101;2024 - II
30106929;DAT-201;30106929-DAT201;2024 - I
30116169;UX-100;30116169-UX100;2024 - II
30116169;IA-300;30116169-IA300;2024 - II
30116169;GEN-101;30116169-GEN101;2024 - II
30116169;MKT-200;30116169-MKT200;2024 - I
30117903;DEV-101;30117903-DEV101;2024 - II
30117903;IA-300;30117903-IA300;2024 - I
30117903;DAT-201;30117903-DAT201;2024 - II
30123333;UX-100;30123333-UX100;2024 - II
30123333;NEG-400;30123333-NEG400;2024 - II
30125745;DAT-305;30125745-DAT305;2025 - II
30125745;MKT-200;30125745-MKT200;2025 - II
30125745;DEV-101;30125745-DEV101;2025 - I
30125745;IA-300;30125745-IA300;2025 - I
30125745;UX-100;30125745-UX100;2025 - II
30126752;DAT-201;30126752-DAT201;2024 - II
30126752;DAT-101;30126752-DAT101;2024 - I
30126752;GEN-101;30126752-GEN101;2024 - I
30163309;IA-400;30163309-IA400;2025 - I
30163309;DAT-305;30163309-DAT305;2025 - I
30163309;DEV-101;30163309-DEV101;2025 - I
30163309;GEN-101;30163309-GEN101;2025 - I
30173121;UX-100;30173121-UX100;2025 - II
30173121;IA-400;30173121-IA400;2025 - I
30173121;MKT-200;30173121-MKT200;2025 - I
30173121;DAT-101;30173121-DAT101;2025 - II
30173121;DAT-201;30173121-DAT201;2025 - II
30174396;DEV-101;30174396-DEV101;2024 - I
30186819;GEN-101;30186819-GEN101;2025 - II
30186819;DAT-201;30186819-DAT201;2025 - I
30186819;IA-400;30186819-IA400;2025 - II
30186819;DAT-101;30186819-DAT101;2025 - I
30187041;NEG-400;30187041-NEG400;2025 - II
30187041;IA-400;30187041-IA400;2025 - I
30187041;DAT-305;30187041-DAT305;2025 - I
30197508;UX-100;30197508-UX100;2024 - II
30205757;NEG-400;30205757-NEG400;2025 - I
30205757;DAT-201;30205757-DAT201;2025 - I
30205757;GEN-101;30205757-GEN101;2025 - II
